Tau,Kappa,Chi
-1.7371779276130073,-1.5200306866613813,0.11669404577287085
-1.693748479422682,-1.5200306866613813,0.1836457497832137
-1.6503190312323568,-1.5200306866613813,0.16037065229671024
-1.6068895830420316,-1.5200306866613813,0.2133782233866626
-1.5634601348517065,-1.5200306866613813,0.2518053321168242
-1.5200306866613813,-1.5200306866613813,0.23684364864281962
-1.4766012384710558,-1.5200306866613813,0.2847209764809283
-1.4331717902807308,-1.5200306866613813,0.2846539300135472
-1.3897423420904056,-1.5200306866613813,0.2916793063905125
-1.3463128939000804,-1.5200306866613813,0.3098896526973212
-1.3028834457097551,-1.5200306866613813,0.35008683166667776
-1.2594539975194299,-1.5200306866613813,0.3668151440358376
-1.2160245493291046,-1.5200306866613813,0.3686789439141419
-1.1725951011387794,-1.5200306866613813,0.39494981603159207
-1.1291656529484542,-1.5200306866613813,0.3996087555648735
-1.085736204758129,-1.5200306866613813,0.41102100844702405
-1.0423067565678037,-1.5200306866613813,0.42736912113461184
-0.9988773083774786,-1.5200306866613813,0.41846299929848596
-0.9554478601871533,-1.5200306866613813,0.4280594719180215
-0.9120184119968281,-1.5200306866613813,0.44377145563193243
-0.868588963806503,-1.5200306866613813,0.433503540820409
-0.8251595156161776,-1.5200306866613813,0.4337488156523847
-0.7817300674258525,-1.5200306866613813,0.43612816632205587
-0.7383006192355273,-1.5200306866613813,0.42094351381712813
-0.694871171045202,-1.5200306866613813,0.42356269683258696
-0.6514417228548768,-1.5200306866613813,0.4010870325563792
-0.6080122746645515,-1.5200306866613813,0.4187875099956593
-0.5645828264742263,-1.5200306866613813,0.3933163996093513
-0.5211533782839011,-1.5200306866613813,0.3919631706243412
-0.47772393009357594,-1.5200306866613813,0.37358898730347834
-0.4342944819032507,-1.5200306866613813,0.3538513240200052
-0.39086503371292547,-1.5200306866613813,0.34221023689080005
-0.34743558552260023,-1.5200306866613813,0.332378005680404
-0.304006137332275,-1.5200306866613813,0.31700871143068493
-0.2605766891419498,-1.5200306866613813,0.29597521842031005
-0.21714724095162455,-1.5200306866613813,0.2739750680410189
-0.17371779276129934,-1.5200306866613813,0.236575037149897
-0.13028834457097413,-1.5200306866613813,0.2358685401658554
-0.0868588963806489,-1.5200306866613813,0.19261551015717565
-0.04342944819032366,-1.5200306866613813,0.16462125451144238
1.5429239464852566e-15,-1.5200306866613813,0.13288601157514457
0.04342944819032661,-1.5200306866613813,0.10022339516003764
0.08685889638065195,-1.5200306866613813,0.0821991914833565
0.13028834457097743,-1.5200306866613813,0.04070334641646798
0.17371779276130242,-1.5200306866613813,0.009795719205577902
0.21714724095162746,-1.5200306866613813,-0.0283560266130563
0.26057668914195287,-1.5200306866613813,-0.06473627968938996
0.3040061373322783,-1.5200306866613813,-0.0994770751242638
0.34743558552260334,-1.5200306866613813,-0.1356991145150179
0.39086503371292836,-1.5200306866613813,-0.1636777173385844
0.4342944819032538,-1.5200306866613813,-0.20177397230103805
0.47772393009357916,-1.5200306866613813,-0.23254747191490088
0.5211533782839042,-1.5200306866613813,-0.2685545970490902
0.5645828264742292,-1.5200306866613813,-0.30184619548676594
0.6080122746645547,-1.5200306866613813,-0.31267177088585624
0.65144172285488,-1.5200306866613813,-0.3315616483619868
0.6948711710452051,-1.5200306866613813,-0.3561890673586811
0.7383006192355301,-1.5200306866613813,-0.3783551312079259
0.7817300674258556,-1.5200306866613813,-0.4030762567671902
0.825159515616181,-1.5200306866613813,-0.403492437690807
0.868588963806506,-1.5200306866613813,-0.4108785033155247
0.912018411996831,-1.5200306866613813,-0.4356401511917681
0.9554478601871563,-1.5200306866613813,-0.42935796046404695
-1.7371779276130073,-1.4766012384710563,0.09820396444575576
-1.693748479422682,-1.4766012384710563,0.11959591131450119
-1.6503190312323568,-1.4766012384710563,0.1679131792581257
-1.6068895830420316,-1.4766012384710563,0.18959011857694483
-1.5634601348517065,-1.4766012384710563,0.2193462840556062
-1.5200306866613813,-1.4766012384710563,0.2451540584539804
-1.4766012384710558,-1.4766012384710563,0.24586264546388462
-1.4331717902807308,-1.4766012384710563,0.24938106307309707
-1.3897423420904056,-1.4766012384710563,0.29989829996866263
-1.3463128939000804,-1.4766012384710563,0.2983124744704101
-1.3028834457097551,-1.4766012384710563,0.31351712794406955
-1.2594539975194299,-1.4766012384710563,0.3442787295222704
-1.2160245493291046,-1.4766012384710563,0.34463328946028576
-1.1725951011387794,-1.4766012384710563,0.3725763727430095
-1.1291656529484542,-1.4766012384710563,0.38142486356452254
-1.085736204758129,-1.4766012384710563,0.3838231118871177
-1.0423067565678037,-1.4766012384710563,0.3850876770458145
-0.9988773083774786,-1.4766012384710563,0.4061793746894431
-0.9554478601871533,-1.4766012384710563,0.40949906366538996
